# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (cm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
0.01,0.006,1.107,110.766,1.107,110.766,0,0,0,0,0,0,28.61,-80.6,9.792,5.16,0,0,0,7.908e4,3.602e4,56.693,0.594,NaN,252.092,NaN,0.003,2.945e5,9533.407,0.015,0.577,0.615,0.459,0.013,0.105,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.418e-4,20.32,324.293,90,0,0.1,15,1013.249,340.389,0.01,0.017
0.02,0.022,2.213,110.649,2.213,110.649,0,0,0,0,0,0,28.61,-80.6,9.792,2.587,0,0,0,7.904e4,3.599e4,56.68,0.594,NaN,252.13,NaN,0.007,5.868e5,9520.26,0.051,0.513,0.523,0.395,0.013,0.105,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.833e-4,20.32,324.293,90,0,0.1,15,1013.247,340.389,0.01,0.021
0.03,0.05,3.318,110.531,3.318,110.531,0,0,0,0,0,0,28.61,-80.6,9.792,1.726,0,0,0,7.901e4,3.595e4,56.667,0.593,NaN,252.167,NaN,0.01,8.792e5,9507.113,0.106,0.482,0.486,0.363,0.013,0.105,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.248e-4,20.32,324.293,90,0,0.1,15,1013.244,340.389,0.01,0.023
0.04,0.088,4.422,110.396,4.422,110.396,0,0,0,0,0,0,28.61,-80.6,9.792,1.296,0,0,0,7.896e4,3.59e4,56.652,0.593,NaN,252.197,NaN,0.013,1.171e6,9490.698,0.18,0.462,0.464,0.343,0.013,0.105,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.661e-4,20.32,324.293,90,0,0.1,14.999,1013.24,340.389,0.01,0.024
0.05,0.138,5.524,110.219,5.524,110.219,0,0,0,0,0,0,28.61,-80.6,9.792,1.037,0,0,0,7.892e4,3.586e4,56.637,0.593,NaN,252.227,NaN,0.016,1.463e6,9471.013,0.272,0.448,0.449,0.329,0.013,0.105,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.072e-4,20.32,324.293,90,0,0.1,14.999,1013.234,340.388,0.01,0.026
0.06,0.199,6.624,110.059,6.624,110.059,0,0,0,0,0,0,28.61,-80.6,9.792,0.865,0,0,0,7.888e4,3.582e4,56.627,0.593,NaN,252.247,NaN,0.019,1.755e6,9454.618,0.381,0.436,0.437,0.318,0.013,0.106,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.481e-4,20.32,324.293,90,0,0.1,14.999,1013.227,340.388,0.01,0.028
0.07,0.271,7.723,109.94,7.723,109.94,0,0,0,0,0,0,28.61,-80.6,9.792,0.742,0,0,0,7.885e4,3.579e4,56.617,0.592,NaN,252.267,NaN,0.023,2.046e6,9441.515,0.507,0.428,0.428,0.309,0.013,0.106,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.888e-4,20.32,324.293,90,0,0.1,14.998,1013.218,340.388,0.01,0.029
0.08,0.353,8.821,109.821,8.821,109.821,0,0,0,0,0,0,28.61,-80.6,9.792,0.65,0,0,0,7.882e4,3.576e4,56.607,0.592,NaN,252.286,NaN,0.026,2.336e6,9428.412,0.65,0.42,0.421,0.301,0.013,0.106,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,20.32,324.293,90,0,0.1,14.998,1013.209,340.388,0.01,0.031
0.09,0.447,9.918,109.685,9.918,109.685,0,0,0,0,0,0,28.61,-80.6,9.792,0.578,0,0,0,7.877e4,3.571e4,56.592,0.592,NaN,252.316,NaN,0.029,2.627e6,9412.048,0.809,0.414,0.414,0.295,0.013,0.106,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,20.32,324.293,90,0,0.1,14.997,1013.198,340.387,0.01,0.032
0.1,0.552,11.012,109.507,11.012,109.507,0,0,0,0,0,0,28.61,-80.6,9.792,0.52,0,0,0,7.872e4,3.566e4,56.577,0.592,NaN,252.345,NaN,0.032,2.917e6,9392.423,0.984,0.408,0.409,0.289,0.013,0.106,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,20.32,324.293,90,0,0.1,14.996,1013.185,340.387,0.01,0.034
