# Parameters:,Wind direction:,135°,Angle of attack:,0°,Roll rate:,0 °/s,Active stages:,Deployable Payload,Aurora Rocket,Flight configuration:,[None; Aurora Cycle 0 28.3kgNOS 7.2kgETH 2025-01-P]
# 121 data points written for 5 variables.
# Mach number,CNα (Aurora) (​),CNα (Nose Cone) (​),CNα (Canards) (​),CNα (Fins) (​),CNα (Boattail) (​)
0,12.636,2,0.641,10.237,-0.242
0.025,12.636,2,0.641,10.238,-0.242
0.05,12.639,2,0.641,10.24,-0.242
0.075,12.643,2,0.642,10.244,-0.242
0.1,12.649,2,0.642,10.25,-0.242
0.125,12.657,2,0.643,10.257,-0.242
0.15,12.667,2,0.644,10.266,-0.242
0.175,12.678,2,0.645,10.276,-0.242
0.2,12.692,2,0.646,10.288,-0.242
0.225,12.707,2,0.647,10.302,-0.242
0.25,12.724,2,0.649,10.317,-0.242
0.275,12.742,2,0.65,10.334,-0.242
0.3,12.763,2,0.652,10.353,-0.242
0.325,12.786,2,0.654,10.374,-0.242
0.35,12.811,2,0.656,10.397,-0.242
0.375,12.838,2,0.659,10.421,-0.242
0.4,12.867,2,0.661,10.448,-0.242
0.425,12.898,2,0.664,10.476,-0.242
0.45,12.931,2,0.667,10.506,-0.242
0.475,12.967,2,0.67,10.539,-0.242
0.5,13.005,2,0.674,10.574,-0.242
0.525,13.046,2,0.677,10.61,-0.242
0.55,13.089,2,0.681,10.65,-0.242
0.575,13.135,2,0.686,10.691,-0.242
0.6,13.184,2,0.69,10.736,-0.242
0.625,13.236,2,0.695,10.783,-0.242
0.65,13.29,2,0.7,10.832,-0.242
0.675,13.349,2,0.706,10.885,-0.242
0.7,13.41,2,0.712,10.94,-0.242
0.725,13.475,2,0.719,10.999,-0.242
0.75,13.544,2,0.725,11.061,-0.242
0.775,13.617,2,0.733,11.127,-0.242
0.8,13.694,2,0.741,11.196,-0.242
0.825,13.776,2,0.749,11.269,-0.242
0.85,13.863,2,0.758,11.347,-0.242
0.875,13.955,2,0.768,11.429,-0.242
0.9,14.053,2,0.779,11.516,-0.242
0.925,14.156,2,0.791,11.607,-0.242
0.95,14.258,2,0.802,11.698,-0.242
0.975,14.354,2,0.813,11.783,-0.242
1,14.437,2,0.822,11.858,-0.242
1.025,14.504,2,0.829,11.917,-0.242
1.05,14.549,2,0.834,11.957,-0.242
1.075,14.569,2,0.836,11.975,-0.242
1.1,14.56,2,0.835,11.967,-0.242
1.125,14.518,2,0.831,11.93,-0.242
1.15,14.443,2,0.823,11.863,-0.242
1.175,14.332,2,0.811,11.764,-0.242
1.2,14.185,2,0.795,11.632,-0.242
1.225,14.002,2,0.776,11.468,-0.242
1.25,13.784,2,0.754,11.273,-0.242
1.275,13.533,2,0.728,11.047,-0.242
1.3,13.252,2,0.7,10.794,-0.242
1.325,12.944,2,0.669,10.517,-0.242
1.35,12.615,2,0.638,10.22,-0.242
1.375,12.271,2,0.605,9.908,-0.242
1.4,11.919,2,0.574,9.587,-0.242
1.425,11.567,2,0.543,9.266,-0.242
1.45,11.225,2,0.516,8.952,-0.242
1.475,10.905,2,0.492,8.655,-0.242
1.5,10.618,2,0.475,8.385,-0.242
1.525,10.385,2,0.462,8.165,-0.242
1.55,10.153,2,0.45,7.946,-0.242
1.575,9.921,2,0.437,7.726,-0.242
1.6,9.689,2,0.425,7.506,-0.242
1.625,9.507,2,0.415,7.334,-0.242
1.65,9.326,2,0.405,7.163,-0.242
