# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (cm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s),Dynamic Pressure (mbar)
0.01,-3.86E-04,-0.077,-7.726,0.078,7.755,-3.38E-05,0,3.38e-5,180,0.007,0.676,48.476,-80.44,9.808,124.646,0,0,0,5.702e4,1.741e4,56.395,0.268,NaN,250.212,NaN,3.533e-4,3.2e4,114.957,-7.39E-05,1.292,-0.463,1.181,0.01,0.101,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.535e-6,15.24,182.415,85,0,0.1,18.861,1000.508,342.729,0.01,0.012,3.59e-5
0.02,-1.85E-04,-0.037,-3.706,0.037,3.72,-1.62E-05,0,1.622e-5,180,0.003,0.324,48.476,-80.44,9.808,105.965,0,0,0,5.699e4,1.738e4,56.403,0.268,NaN,250.27,NaN,3.023e-4,2.738e4,344.87,-7.17E-06,1.35,-0.061,1.238,0.01,0.101,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.615e-6,15.24,182.415,85,0,0.1,18.861,1000.508,342.729,0.01,0.016,8.267e-6
0.03,1.575e-5,0.003,0.319,0.003,0.32,1.378e-6,0,1.378e-6,0,2.763e-4,0.028,48.476,-80.44,9.808,83.196,0,0,0,5.696e4,1.735e4,56.412,0.267,NaN,250.328,NaN,2.927e-4,2.651e4,574.783,5.845e-7,1.362,0.005,1.251,0.01,0.101,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.08e-7,15.24,182.415,85,0,0.1,18.861,1000.508,342.729,0.01,0.017,6.001e-8
0.04,0.001,0.294,29.063,0.295,29.174,1.312e-4,0,1.312e-4,0,0.026,2.543,48.476,-80.44,9.808,18.173,0,0,0,5.691e4,1.731e4,56.424,0.267,NaN,250.413,NaN,9.319e-4,8.44e4,2216.543,0.001,1.01,1.311,0.899,0.01,0.101,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.864e-5,15.24,182.415,85,0,0.1,18.861,1000.508,342.729,0.01,0.019,5.186e-4
0.05,0.009,1.119,82.586,1.123,82.902,7.491e-4,0,7.491e-4,0,0.098,7.225,48.476,-80.44,9.808,5.029,0,0,0,5.687e4,1.726e4,56.437,0.267,NaN,250.497,NaN,0.003,3.003e5,5270.148,0.012,0.772,0.82,0.66,0.01,0.101,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.091e-4,15.24,182.415,85,0,0.1,18.861,1000.508,342.729,0.01,0.02,0.008
0.06,0.025,2.251,113.264,2.26,113.697,0.002,0,0.002,0,0.197,9.909,48.476,-80.44,9.808,2.514,0,0,0,5.684e4,1.723e4,56.445,0.267,NaN,250.551,NaN,0.007,6.001e5,7017.697,0.039,0.68,0.692,0.568,0.01,0.101,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.196e-4,15.24,182.415,85,0,0.1,18.861,1000.507,342.729,0.01,0.022,0.03
0.07,0.054,3.462,121.072,3.475,121.534,0.005,0,0.005,0,0.303,10.592,48.476,-80.44,9.808,1.638,0,0,0,5.681e4,1.72e4,56.453,0.267,NaN,250.605,NaN,0.01,9.21e5,7459.19,0.084,0.632,0.637,0.521,0.01,0.101,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.376e-4,15.24,182.415,85,0,0.1,18.861,1000.505,342.729,0.01,0.023,0.072
0.08,0.095,4.75,128.888,4.768,129.38,0.008,0,0.008,0,0.416,11.276,48.476,-80.44,9.808,1.195,0,0,0,5.678e4,1.717e4,56.462,0.267,NaN,250.659,NaN,0.014,1.263e6,7900.683,0.15,0.601,0.603,0.489,0.01,0.101,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.633e-4,15.24,182.415,85,0,0.1,18.861,1000.503,342.729,0.01,0.024,0.136
0.09,0.149,6.068,131.826,6.091,132.33,0.013,0,0.013,0,0.531,11.533,48.476,-80.44,9.808,0.936,0,0,0,5.673e4,1.712e4,56.48,0.267,NaN,250.76,NaN,0.018,1.612e6,8061.78,0.235,0.578,0.58,0.467,0.01,0.101,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.918e-4,15.24,182.415,85,0,0.1,18.861,1000.501,342.728,0.01,0.025,0.221
0.1,0.216,7.366,129.842,7.394,130.338,0.019,0,0.019,0,0.644,11.36,48.476,-80.44,9.808,0.771,0,0,0,5.669e4,1.708e4,56.498,0.267,NaN,250.86,NaN,0.022,1.956e6,7942.48,0.336,0.562,0.563,0.45,0.011,0.101,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.183e-4,15.24,182.415,85,0,0.1,18.86,1000.498,342.728,0.01,0.027,0.326
0.11,0.296,8.647,128.151,8.68,128.64,0.026,0,0.026,0,0.757,11.212,48.476,-80.44,9.808,0.657,0,0,0,5.666e4,1.705e4,56.517,0.267,NaN,250.952,NaN,0.025,2.296e6,7842.183,0.451,0.549,0.549,0.437,0.011,0.101,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.433e-4,15.24,182.415,85,0,0.1,18.86,1000.494,342.728,0.01,0.028,0.45
0.12,0.389,9.915,126.792,9.952,127.276,0.034,0,0.034,0,0.867,11.093,48.476,-80.44,9.808,0.573,0,0,0,5.663e4,1.702e4,56.536,0.267,NaN,251.044,NaN,0.029,2.632e6,7760.89,0.582,0.538,0.538,0.426,0.011,0.101,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.669e-4,15.24,182.415,85,0,0.1,18.86,1000.489,342.728,0.01,0.029,0.591
0.13,0.495,11.169,125.431,11.211,125.91,0.043,0,0.043,0,0.977,10.974,48.476,-80.44,9.808,0.509,0,0,0,5.659e4,1.699e4,56.555,0.267,NaN,251.135,NaN,0.033,2.965e6,7679.597,0.725,0.529,0.529,0.417,0.011,0.101,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,15.24,182.415,85,0,0.1,18.86,1000.484,342.728,0.01,0.03,0.75
0.14,0.612,12.413,124.46,12.46,124.936,0.054,0,0.054,0,1.086,10.889,48.476,-80.44,9.808,0.458,0,0,0,5.655e4,1.694e4,56.567,0.266,NaN,251.206,NaN,0.036,3.295e6,7618.525,0.882,0.521,0.521,0.41,0.011,0.101,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,15.24,182.415,85,0,0.1,18.859,1000.479,342.728,0.01,0.031,0.927
0.15,0.743,13.651,123.844,13.703,124.317,0.065,0,0.065,0,1.194,10.835,48.476,-80.44,9.808,0.416,0,0,0,5.65e4,1.69e4,56.578,0.266,NaN,251.277,NaN,0.04,3.623e6,7577.675,1.053,0.514,0.515,0.403,0.011,0.101,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,15.24,182.415,85,0,0.1,18.859,1000.472,342.727,0.01,0.033,1.121
