time [s],mass [g],thrust [N]
0.01,5.75E+04,645.105
0.02,5.75E+04,1455.735
0.03,5.75E+04,2266.365
0.04,5.75E+04,4264.805
0.05,5.75E+04,7451.055
0.06,5.74E+04,9486.37
0.07,5.74E+04,9903.773
0.08,5.73E+04,9854.197
0.09,5.73E+04,9649.66
0.1,5.73E+04,9290.16
0.11,5.73E+04,9114.405
0.12,5.73E+04,9122.395
0.13,5.72E+04,9130.385
0.14,5.72E+04,9126.813
0.15,5.72E+04,9111.678
0.16,5.71E+04,8963.265
0.17,5.71E+04,8681.575
0.18,5.71E+04,8401.815
0.19,5.71E+04,8123.985
0.2,5.70E+04,7960.013
0.21,5.70E+04,7909.9
0.22,5.70E+04,7859.787
0.23,5.70E+04,7823.608
0.24,5.70E+04,7801.362
0.25,5.69E+04,7746.66
0.26,5.69E+04,7659.5
0.27,5.68E+04,7505.4
0.28,5.68E+04,7383.375
0.29,5.68E+04,7360.365
0.3,5.68E+04,7337.355
0.31,5.68E+04,7314.345
0.32,5.68E+04,7302.13
0.33,5.67E+04,7300.71
0.34,5.67E+04,7261.295
0.35,5.66E+04,7176.472
0.36,5.66E+04,7084.237
0.375,5.66E+04,6998.348
0.398,5.65E+04,6915.742
0.431,5.64E+04,6833.235
0.481,5.63E+04,6646.853
0.531,5.62E+04,6485.213
0.581,5.61E+04,6337.812
0.631,5.59E+04,6248.477
0.681,5.58E+04,6160.049
0.731,5.57E+04,6085.368
0.781,5.56E+04,6027.407
0.831,5.54E+04,5973.089
0.881,5.53E+04,5952.936
0.931,5.51E+04,5924.936
0.981,5.50E+04,5900.298
1.031,5.49E+04,5879.594
1.081,5.47E+04,5871.667
1.131,5.46E+04,5849.177
1.181,5.45E+04,5843.457
1.231,5.44E+04,5848.371
1.281,5.42E+04,5838.501
1.331,5.41E+04,5834.608
1.381,5.40E+04,5836.207
1.431,5.39E+04,5811.571
1.481,5.37E+04,5823.308
1.531,5.36E+04,5815.326
1.581,5.34E+04,5816.427
1.631,5.33E+04,5802.992
1.681,5.32E+04,5787.447
1.731,5.31E+04,5791.421
1.781,5.30E+04,5775.332
1.831,5.28E+04,5740.856
1.881,5.27E+04,5716.977
1.931,5.25E+04,5748.839
