# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (cm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s),MaxQ (mbar)
0.01,-3.039e-4,-0.061,-6.078,0.061,6.101,-2.659e-5,0,2.659e-5,180,0.005,0.532,36,-86,9.796,117.697,0,0,0,2.961e4,6251.974,13.284,0.208,NaN,162.826,NaN,3.327e-4,1.978e4,108.333,-3.675e-5,0.76,-0.154,0.627,0.012,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.213e-6,20.32,324.293,85,0,0.1,11.321,947.233,338.159,0.01,0.019,NaN
0.02,6.061e-5,0.012,1.214,0.012,1.218,5.303e-6,0,5.303e-6,0,0.001,0.106,36,-86,9.796,78.158,0,0,0,2.961e4,6245.948,13.28,0.208,NaN,162.81,NaN,3.01e-4,1.789e4,325,2.965e-6,0.78,0.015,0.648,0.012,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.439e-6,20.32,324.293,85,0,0.1,11.321,947.233,338.159,0.01,0.027,NaN
0.03,6.071e-4,0.097,8.508,0.098,8.54,5.312e-5,0,5.312e-5,0,0.009,0.744,36,-86,9.796,43.149,0,0,0,2.96e4,6239.923,13.276,0.208,NaN,162.794,NaN,4.308e-4,2.56e4,541.667,2.02e-4,0.71,0.506,0.578,0.012,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.153e-5,20.32,324.293,85,0,0.1,11.321,947.233,338.159,0.01,0.029,NaN
0.04,0.002,0.255,15.805,0.256,15.865,2.073e-4,0,2.073e-4,0,0.022,1.383,36,-86,9.796,20.609,0,0,0,2.959e4,6233.897,13.272,0.208,NaN,162.778,NaN,8.369e-4,4.974e4,758.333,0.001,0.607,0.778,0.475,0.012,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.029e-5,20.32,324.293,85,0,0.1,11.321,947.233,338.159,0.01,0.031,NaN
0.05,0.006,0.486,23.105,0.488,23.193,5.316e-4,0,5.316e-4,0,0.043,2.021,36,-86,9.796,11.339,0,0,0,2.959e4,6227.871,13.268,0.208,NaN,162.762,NaN,0.001,8.906e4,975,0.003,0.537,0.657,0.405,0.012,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.77e-5,20.32,324.293,85,0,0.1,11.321,947.232,338.159,0.01,0.033,NaN
0.06,0.012,0.79,30.408,0.793,30.524,0.001,0,0.001,0,0.069,2.66,36,-86,9.796,7.081,0,0,0,2.958e4,6221.845,13.264,0.208,NaN,162.746,NaN,0.002,1.42e5,1191.667,0.007,0.492,0.548,0.36,0.012,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.379e-5,20.32,324.293,85,0,0.1,11.321,947.232,338.159,0.01,0.034,NaN
0.07,0.022,1.167,37.714,1.172,37.858,0.002,0,0.002,0,0.102,3.3,36,-86,9.796,4.823,0,0,0,2.958e4,6215.82,13.261,0.208,NaN,162.73,NaN,0.004,2.082e5,1408.333,0.013,0.46,0.488,0.328,0.012,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.385e-4,20.32,324.293,85,0,0.1,11.321,947.23,338.159,0.01,0.036,NaN
0.08,0.036,1.618,45.023,1.624,45.195,0.003,0,0.003,0,0.142,3.939,36,-86,9.796,3.492,0,0,0,2.957e4,6209.794,13.257,0.208,NaN,162.714,NaN,0.005,2.875e5,1625,0.023,0.437,0.451,0.305,0.012,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.92e-4,20.32,324.293,85,0,0.1,11.321,947.229,338.159,0.01,0.038,NaN
0.09,0.055,2.141,52.334,2.149,52.534,0.005,0,0.005,0,0.187,4.579,36,-86,9.796,2.643,0,0,0,2.956e4,6203.768,13.253,0.208,NaN,162.698,NaN,0.006,3.797e5,1841.667,0.037,0.419,0.427,0.287,0.012,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.541e-4,20.32,324.293,85,0,0.1,11.321,947.227,338.159,0.01,0.041,NaN
0.1,0.079,2.737,59.649,2.748,59.876,0.007,0,0.007,0,0.239,5.219,36,-86,9.796,2.07,0,0,0,2.956e4,6197.742,13.249,0.208,NaN,162.682,NaN,0.008,4.848e5,2058.333,0.058,0.404,0.409,0.272,0.012,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.248e-4,20.32,324.293,85,0,0.1,11.32,947.224,338.159,0.01,0.044,NaN
0.11,0.11,3.407,66.966,3.42,67.221,0.01,0,0.01,0,0.298,5.859,36,-86,9.796,1.664,0,0,0,2.955e4,6191.717,13.245,0.208,NaN,162.666,NaN,0.01,6.029e5,2275,0.087,0.392,0.395,0.26,0.012,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.043e-4,20.32,324.293,85,0,0.1,11.32,947.221,338.159,0.01,0.047,NaN
0.12,0.148,4.15,74.285,4.165,74.569,0.013,0,0.013,0,0.363,6.499,36,-86,9.796,1.367,0,0,0,2.955e4,6185.691,13.241,0.208,NaN,162.65,NaN,0.012,7.339e5,2491.667,0.126,0.381,0.383,0.249,0.012,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.925e-4,20.32,324.293,85,0,0.1,11.32,947.216,338.159,0.01,0.049,NaN
0.13,0.193,4.927,77.75,4.946,78.047,0.017,0,0.017,0,0.431,6.802,36,-86,9.796,1.152,0,0,0,2.953e4,6173.913,13.233,0.208,NaN,162.618,NaN,0.015,8.71e5,2593.444,0.173,0.373,0.374,0.241,0.012,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.847e-4,20.32,324.293,85,0,0.1,11.32,947.211,338.159,0.01,0.05,NaN
0.14,0.246,5.7,77.341,5.722,77.636,0.022,0,0.022,0,0.499,6.766,36,-86,9.796,0.996,0,0,0,2.952e4,6162.135,13.226,0.208,NaN,162.587,NaN,0.017,1.007e6,2580.333,0.227,0.366,0.367,0.234,0.012,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.765e-4,20.32,324.293,85,0,0.1,11.319,947.205,338.158,0.01,0.052,NaN
0.15,0.307,6.469,76.931,6.494,77.225,0.027,0,0.027,0,0.566,6.731,36,-86,9.796,0.878,0,0,0,2.951e4,6150.357,13.218,0.208,NaN,162.555,NaN,0.019,1.143e6,2567.222,0.287,0.36,0.361,0.228,0.012,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.678e-4,20.32,324.293,85,0,0.1,11.319,947.199,338.158,0.01,0.054,NaN
0.16,0.376,7.234,76.521,7.262,76.813,0.033,0,0.033,0,0.633,6.695,36,-86,9.796,0.785,0,0,0,2.95e4,6138.579,13.211,0.208,NaN,162.524,NaN,0.022,1.278e6,2554.111,0.354,0.355,0.356,0.223,0.012,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.586e-4,20.32,324.293,85,0,0.1,11.318,947.191,338.158,0.01,0.055,NaN
0.17,0.452,7.995,76.11,8.026,76.4,0.04,0,0.04,0,0.699,6.659,36,-86,9.796,0.71,0,0,0,2.949e4,6126.801,13.203,0.208,NaN,162.493,NaN,0.024,1.412e6,2541,0.427,0.351,0.352,0.219,0.012,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.489e-4,20.32,324.293,85,0,0.1,11.318,947.182,338.158,0.01,0.057,NaN
0.18,0.536,8.752,75.698,8.786,75.987,0.047,0,0.047,0,0.766,6.623,36,-86,9.796,0.649,0,0,0,2.948e4,6115.023,13.195,0.208,NaN,162.461,NaN,0.026,1.546e6,2527.889,0.506,0.347,0.348,0.215,0.012,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,20.32,324.293,85,0,0.1,11.317,947.173,338.157,0.01,0.058,NaN
0.19,0.627,9.505,75.286,9.541,75.574,0.055,0,0.055,0,0.832,6.587,36,-86,9.796,0.598,0,0,0,2.946e4,6103.245,13.188,0.208,NaN,162.43,NaN,0.028,1.679e6,2514.778,0.591,0.344,0.344,0.212,0.012,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,20.32,324.293,85,0,0.1,11.317,947.163,338.157,0.01,0.059,NaN
0.2,0.726,10.253,74.873,10.293,75.159,0.063,0,0.063,0,0.897,6.551,36,-86,9.796,0.554,0,0,0,2.945e4,6091.467,13.18,0.208,NaN,162.398,NaN,0.03,1.811e6,2501.667,0.681,0.341,0.341,0.209,0.012,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,20.32,324.293,85,0,0.1,11.316,947.152,338.157,0.01,0.061,NaN
0.21,0.832,10.998,74.46,11.04,74.745,0.073,0,0.073,0,0.962,6.514,36,-86,9.796,0.517,0,0,0,2.944e4,6079.689,13.172,0.208,NaN,162.366,NaN,0.033,1.942e6,2488.556,0.778,0.338,0.339,0.206,0.012,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,20.32,324.293,85,0,0.1,11.316,947.14,338.156,0.01,0.062,NaN
0.22,0.946,11.741,74.371,11.786,74.655,0.083,0,0.083,0,1.027,6.507,36,-86,9.796,0.484,0,0,0,2.943e4,6067.644,13.164,0.208,NaN,162.334,NaN,0.035,2.073e6,2484.987,0.88,0.336,0.336,0.204,0.012,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,20.32,324.293,85,0,0.1,11.315,947.127,338.156,0.01,0.064,NaN
0.23,1.067,12.487,74.604,12.535,74.889,0.093,0,0.093,0,1.092,6.527,36,-86,9.796,0.455,0,0,0,2.942e4,6055.599,13.157,0.208,NaN,162.302,NaN,0.037,2.205e6,2490.962,0.988,0.334,0.334,0.201,0.012,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,20.32,324.293,85,0,0.1,11.314,947.114,338.155,0.01,0.065,NaN
0.24,1.195,13.236,74.837,13.286,75.122,0.105,0,0.105,0,1.158,6.547,36,-86,9.796,0.429,0,0,0,2.94e4,6043.555,13.149,0.208,NaN,162.27,NaN,0.039,2.337e6,2496.936,1.108,0.333,0.333,0.201,0.012,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,20.32,324.293,85,0,0.1,11.313,947.099,338.155,0.01,0.066,NaN
0.25,1.332,13.986,75.069,14.039,75.356,0.116,0,0.116,0,1.224,6.568,36,-86,9.796,0.406,0,0,0,2.939e4,6031.51,13.141,0.208,NaN,162.237,NaN,0.042,2.469e6,2502.91,1.237,0.333,0.333,0.201,0.012,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,20.32,324.293,85,0,0.1,11.312,947.084,338.154,0.01,0.068,NaN
0.26,1.475,14.739,75.302,14.795,75.59,0.129,0,0.129,0,1.289,6.588,36,-86,9.796,0.386,0,0,0,2.938e4,6019.466,13.133,0.208,NaN,162.205,NaN,0.044,2.602e6,2508.885,1.374,0.333,0.333,0.201,0.012,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,20.32,324.293,85,0,0.1,11.311,947.068,338.154,0.01,0.069,NaN
0.27,1.626,15.494,75.535,15.553,75.823,0.142,0,0.142,0,1.356,6.608,36,-86,9.796,0.367,0,0,0,2.937e4,6007.421,13.125,0.208,NaN,162.172,NaN,0.046,2.735e6,2514.859,1.518,0.333,0.333,0.201,0.012,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,20.32,324.293,85,0,0.1,11.31,947.051,338.153,0.01,0.07,NaN
0.28,1.785,16.252,75.767,16.314,76.057,0.156,0,0.156,0,1.422,6.629,36,-86,9.796,0.35,0,0,0,2.936e4,5995.377,13.117,0.208,NaN,162.14,NaN,0.048,2.869e6,2520.833,1.67,0.333,0.333,0.201,0.012,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,20.32,324.293,85,0,0.1,11.309,947.034,338.152,0.01,0.072,NaN
0.29,1.951,17.011,76,17.076,76.29,0.171,0,0.171,0,1.488,6.649,36,-86,9.796,0.334,0,0,0,2.934e4,5983.332,13.109,0.208,NaN,162.107,NaN,0.051,3.003e6,2526.808,1.83,0.333,0.333,0.201,0.012,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,20.32,324.293,85,0,0.1,11.308,947.015,338.152,0.01,0.073,NaN
0.3,2.125,17.774,76.232,17.842,76.523,0.186,0,0.186,0,1.555,6.669,36,-86,9.796,0.32,0,0,0,2.933e4,5971.287,13.101,0.208,NaN,162.075,NaN,0.053,3.137e6,2532.782,1.998,0.333,0.333,0.201,0.012,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,20.32,324.293,85,0,0.1,11.307,946.996,338.151,0.01,0.075,NaN
0.31,2.307,18.538,76.464,18.609,76.756,0.202,0,0.202,0,1.622,6.69,36,-86,9.796,0.307,0,0,0,2.932e4,5959.243,13.094,0.208,NaN,162.042,NaN,0.055,3.272e6,2538.756,2.173,0.333,0.333,0.201,0.012,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,20.32,324.293,85,0,0.1,11.306,946.975,338.15,0.01,0.076,NaN
0.32,2.496,19.305,76.697,19.379,76.99,0.218,0,0.218,0,1.689,6.71,36,-86,9.796,0.294,0,0,0,2.931e4,5947.198,13.086,0.208,NaN,162.01,NaN,0.057,3.407e6,2544.731,2.357,0.333,0.333,0.201,0.012,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,20.32,324.293,85,0,0.1,11.305,946.954,338.15,0.01,0.077,NaN
0.33,2.693,20.074,76.929,20.151,77.223,0.236,0,0.236,0,1.756,6.73,36,-86,9.796,0.283,0,0,0,2.93e4,5935.154,13.078,0.208,NaN,161.977,NaN,0.06,3.543e6,2550.705,2.548,0.333,0.333,0.201,0.012,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,20.32,324.293,85,0,0.1,11.303,946.932,338.149,0.01,0.079,NaN
