# Time (s),Altitude (m),Vertical velocity (m/s),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Mach number (​),Thrust (N),Drag force (N),Drag coefficient (​)
0.01,-3.863e-4,-0.077,5.702e4,1.741e4,56.395,0.268,NaN,250.212,0.009,114.957,3.661e-5,0.645
0.02,-1.854e-4,-0.037,5.699e4,1.738e4,56.403,0.268,NaN,250.27,0.009,344.87,6.442e-5,0.646
0.03,1.575e-5,0.003,5.696e4,1.735e4,56.412,0.267,NaN,250.328,0.009,574.783,1.037e-4,0.647
0.04,0.001,0.294,5.691e4,1.731e4,56.424,0.267,NaN,250.413,0.009,2216.543,9.107e-4,0.646
0.05,0.009,1.119,5.687e4,1.726e4,56.437,0.267,NaN,250.497,0.009,5270.148,0.012,0.638
0.06,0.025,2.251,5.684e4,1.723e4,56.445,0.267,NaN,250.551,0.011,7017.697,0.054,0.621
0.07,0.054,3.462,5.681e4,1.72e4,56.453,0.267,NaN,250.605,0.014,7459.19,0.13,0.602
0.08,0.095,4.75,5.678e4,1.717e4,56.462,0.267,NaN,250.659,0.017,7900.683,0.238,0.583
0.09,0.149,6.068,5.673e4,1.712e4,56.48,0.267,NaN,250.76,0.02,8061.78,0.367,0.567
0.1,0.216,7.366,5.669e4,1.708e4,56.498,0.267,NaN,250.86,0.024,7942.48,0.508,0.554
0.11,0.296,8.647,5.666e4,1.705e4,56.517,0.267,NaN,250.952,0.027,7842.183,0.662,0.542
0.12,0.389,9.914,5.663e4,1.702e4,56.536,0.267,NaN,251.044,0.031,7760.89,0.823,0.532
0.13,0.495,11.168,5.659e4,1.699e4,56.555,0.267,NaN,251.135,0.034,7679.597,0.992,0.524
0.14,0.612,12.412,5.655e4,1.694e4,56.567,0.266,NaN,251.206,0.038,7618.525,1.17,0.517
0.15,0.743,13.65,5.65e4,1.69e4,56.578,0.266,NaN,251.277,0.042,7577.675,1.359,0.511
0.16,0.885,14.877,5.647e4,1.687e4,56.586,0.266,NaN,251.323,0.045,7506.915,1.555,0.505
0.17,1.04,16.086,5.644e4,1.684e4,56.594,0.266,NaN,251.369,0.049,7406.245,1.761,0.5
