# Time (s),Altitude (m),Vertical velocity (m/s),Lateral distance (m),Lateral velocity (m/s),Angle of attack (°),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Mach number (​),Thrust (N),Drag force (N),Drag coefficient (​)
0.01,-3.863e-4,-0.077,3.38e-5,0.007,124.646,5.702e4,1.741e4,56.395,0.268,NaN,250.212,3.533e-4,114.957,-7.385e-5,1.292
0.02,-1.854e-4,-0.037,1.622e-5,0.003,105.965,5.699e4,1.738e4,56.403,0.268,NaN,250.27,3.023e-4,344.87,-7.172e-6,1.35
0.03,1.575e-5,0.003,1.378e-6,2.763e-4,83.196,5.696e4,1.735e4,56.412,0.267,NaN,250.328,2.927e-4,574.783,5.845e-7,1.362
0.04,0.001,0.294,1.312e-4,0.026,18.173,5.691e4,1.731e4,56.424,0.267,NaN,250.413,9.319e-4,2216.543,0.001,1.01
0.05,0.009,1.119,7.491e-4,0.098,5.029,5.687e4,1.726e4,56.437,0.267,NaN,250.497,0.003,5270.148,0.012,0.772
0.06,0.025,2.251,0.002,0.197,2.514,5.684e4,1.723e4,56.445,0.267,NaN,250.551,0.007,7017.697,0.039,0.68
0.07,0.054,3.462,0.005,0.303,1.638,5.681e4,1.72e4,56.453,0.267,NaN,250.605,0.01,7459.19,0.084,0.632
0.08,0.095,4.75,0.008,0.416,1.195,5.678e4,1.717e4,56.462,0.267,NaN,250.659,0.014,7900.683,0.15,0.601
0.09,0.149,6.068,0.013,0.531,0.936,5.673e4,1.712e4,56.48,0.267,NaN,250.76,0.018,8061.78,0.235,0.578
0.1,0.216,7.366,0.019,0.644,0.771,5.669e4,1.708e4,56.498,0.267,NaN,250.86,0.022,7942.48,0.336,0.562
0.11,0.296,8.647,0.026,0.757,0.657,5.666e4,1.705e4,56.517,0.267,NaN,250.952,0.025,7842.183,0.451,0.549
0.12,0.389,9.915,0.034,0.867,0.573,5.663e4,1.702e4,56.536,0.267,NaN,251.044,0.029,7760.89,0.582,0.538
0.13,0.495,11.169,0.043,0.977,0.509,5.659e4,1.699e4,56.555,0.267,NaN,251.135,0.033,7679.597,0.725,0.529
0.14,0.612,12.413,0.054,1.086,0.458,5.655e4,1.694e4,56.567,0.266,NaN,251.206,0.036,7618.525,0.882,0.521
0.15,0.743,13.651,0.065,1.194,0.416,5.65e4,1.69e4,56.578,0.266,NaN,251.277,0.04,7577.675,1.053,0.514
0.16,0.885,14.877,0.077,1.302,0.382,5.647e4,1.687e4,56.586,0.266,NaN,251.323,0.044,7506.915,1.236,0.508
0.17,1.04,16.086,0.091,1.407,0.353,5.644e4,1.684e4,56.594,0.266,NaN,251.369,0.047,7406.245,1.43,0.503
0.18,1.207,17.278,0.106,1.512,0.329,5.642e4,1.681e4,56.602,0.266,NaN,251.414,0.051,7305.575,1.634,0.498
0.19,1.386,18.459,0.121,1.615,0.308,5.637e4,1.676e4,56.613,0.266,NaN,251.481,0.054,7238.27,1.848,0.494
0.2,1.576,19.635,0.138,1.718,0.289,5.633e4,1.672e4,56.624,0.266,NaN,251.547,0.058,7204.33,2.074,0.49
0.21,1.778,20.806,0.156,1.82,0.273,5.63e4,1.669e4,56.632,0.266,NaN,251.59,0.061,7170.967,2.312,0.486
0.22,1.992,21.972,0.174,1.922,0.259,5.627e4,1.666e4,56.64,0.266,NaN,251.633,0.064,7138.18,2.56,0.483
0.23,2.218,23.132,0.194,2.024,0.246,5.624e4,1.663e4,56.647,0.266,NaN,251.676,0.068,7105.393,2.819,0.48
0.24,2.455,24.284,0.215,2.125,0.234,5.619e4,1.658e4,56.653,0.266,NaN,251.721,0.071,7051.807,3.087,0.477
0.25,2.703,25.424,0.237,2.224,0.224,5.615e4,1.654e4,56.659,0.265,NaN,251.765,0.074,6977.422,3.364,0.474
0.26,2.963,26.552,0.259,2.323,0.214,5.612e4,1.651e4,56.663,0.265,NaN,251.794,0.078,6910.355,3.65,0.472
0.27,3.234,27.67,0.283,2.421,0.205,5.609e4,1.648e4,56.666,0.265,NaN,251.822,0.081,6850.605,3.944,0.469
0.28,3.517,28.779,0.308,2.518,0.198,5.606e4,1.645e4,56.67,0.265,NaN,251.851,0.084,6790.855,4.245,0.467
0.29,3.81,29.883,0.333,2.614,0.19,5.602e4,1.641e4,56.676,0.265,NaN,251.893,0.088,6767.077,4.557,0.465
0.3,4.114,30.991,0.36,2.711,0.183,5.597e4,1.637e4,56.682,0.265,NaN,251.935,0.091,6779.273,4.879,0.463
0.31,4.43,32.092,0.388,2.808,0.177,5.595e4,1.634e4,56.682,0.265,NaN,251.951,0.094,6732.02,5.21,0.461
0.32,4.756,33.173,0.416,2.902,0.171,5.592e4,1.631e4,56.682,0.265,NaN,251.966,0.097,6625.32,5.545,0.459
0.33,5.093,34.237,0.446,2.995,0.166,5.589e4,1.628e4,56.682,0.265,NaN,251.981,0.1,6518.62,5.885,0.457
0.34,5.441,35.278,0.476,3.086,0.161,5.584e4,1.624e4,56.688,0.265,NaN,252.021,0.103,6390.632,6.226,0.456
0.35,5.799,36.293,0.507,3.175,0.157,5.58e4,1.619e4,56.694,0.265,NaN,252.061,0.106,6241.357,6.568,0.454
0.36,6.167,37.295,0.54,3.263,0.152,5.577e4,1.616e4,56.697,0.264,NaN,252.087,0.109,6163.942,6.914,0.453
0.37,6.544,38.297,0.573,3.351,0.148,5.574e4,1.614e4,56.701,0.264,NaN,252.113,0.112,6158.385,7.268,0.452
0.38,6.932,39.298,0.607,3.438,0.145,5.572e4,1.611e4,56.705,0.264,NaN,252.139,0.115,6152.828,7.631,0.45
0.39,7.33,40.294,0.641,3.525,0.141,5.567e4,1.606e4,56.705,0.264,NaN,252.16,0.118,6122.005,8,0.449
0.4,7.738,41.281,0.677,3.612,0.138,5.563e4,1.602e4,56.705,0.264,NaN,252.181,0.121,6065.915,8.374,0.448
0.41,8.156,42.263,0.714,3.698,0.135,5.56e4,1.599e4,56.705,0.264,NaN,252.194,0.124,6033.297,8.754,0.447
0.42,8.584,43.244,0.751,3.783,0.131,5.557e4,1.597e4,56.705,0.264,NaN,252.208,0.127,6024.15,9.142,0.446
0.435,9.243,44.71,0.809,3.924,0.143,5.552e4,1.592e4,56.708,0.264,315.922,252.24,0.131,6006.679,9.737,0.444
0.458,10.273,46.866,0.899,4.132,0.159,5.544e4,1.583e4,56.716,0.264,315.838,252.303,0.137,5888.072,10.645,0.442
0.491,11.909,50.077,1.044,4.441,0.18,5.533e4,1.572e4,56.715,0.263,315.732,252.352,0.147,5846.489,12.1,0.44
0.541,14.53,54.766,1.277,4.893,0.206,5.516e4,1.556e4,56.715,0.263,315.613,252.422,0.16,5753.315,14.49,0.44
0.591,17.385,59.418,1.533,5.342,0.225,5.5e4,1.539e4,56.713,0.262,315.533,252.487,0.174,5702.258,17.084,0.441
0.641,20.471,64.018,1.812,5.786,0.238,5.484e4,1.523e4,56.722,0.262,315.489,252.579,0.188,5631.5,19.862,0.442
0.691,23.786,68.578,2.112,6.228,0.246,5.468e4,1.507e4,56.72,0.262,315.479,252.634,0.201,5573.874,22.83,0.442
0.741,27.33,73.175,2.434,6.673,0.248,5.452e4,1.491e4,56.716,0.261,315.506,252.684,0.214,5600.674,26.037,0.443
0.791,31.101,77.705,2.779,7.113,0.244,5.436e4,1.475e4,56.713,0.261,315.565,252.73,0.228,5514.761,29.413,0.444
0.841,35.1,82.228,3.146,7.555,0.235,5.421e4,1.46e4,56.702,0.26,315.659,252.755,0.241,5495.468,33,0.445
0.891,39.325,86.781,3.535,8.001,0.221,5.405e4,1.445e4,56.693,0.26,315.788,252.78,0.254,5516.769,36.829,0.446
0.941,43.777,91.303,3.946,8.447,0.201,5.39e4,1.429e4,56.687,0.26,315.949,252.813,0.268,5471.733,40.853,0.447
0.991,48.456,95.865,4.379,8.9,0.176,5.375e4,1.414e4,56.68,0.259,316.145,252.843,0.281,5504.797,45.139,0.448
1.041,53.363,100.42,4.836,9.357,0.147,5.36e4,1.4e4,56.663,0.259,316.369,252.839,0.294,5486.108,49.647,0.449
1.091,58.499,105.014,5.315,9.822,0.113,5.346e4,1.385e4,56.655,0.259,316.621,252.862,0.308,5518.132,54.428,0.45
1.141,63.865,109.617,5.818,10.292,0.077,5.331e4,1.37e4,56.646,0.258,316.892,252.88,0.321,5518.542,59.46,0.452
1.191,69.46,114.2,6.345,10.767,0.039,5.317e4,1.356e4,56.637,0.258,317.177,252.895,0.335,5487.891,64.712,0.453
1.241,75.285,118.807,6.895,11.25,4.778e-4,5.303e4,1.342e4,56.627,0.257,317.468,252.906,0.348,5505.813,70.242,0.454
1.291,81.341,123.413,7.47,11.74,0.037,5.289e4,1.328e4,56.616,0.257,317.32,252.914,0.362,5496.401,76.024,0.456
1.341,87.627,128.022,8.069,12.236,0.07,5.275e4,1.314e4,56.605,0.257,317.188,252.919,0.375,5491.07,82.067,0.457
1.391,94.142,132.598,8.693,12.735,0.099,5.261e4,1.3e4,56.593,0.256,317.089,252.92,0.389,5449.309,88.327,0.459
1.441,100.886,137.164,9.343,13.239,0.121,5.248e4,1.287e4,56.58,0.256,317.033,252.918,0.402,5431.419,94.836,0.46
1.491,107.858,141.725,10.017,13.748,0.135,5.234e4,1.273e4,56.578,0.256,317.027,252.942,0.416,5420.006,101.604,0.462
1.541,115.057,146.234,10.717,14.255,0.14,5.221e4,1.26e4,56.564,0.255,317.077,252.934,0.429,5359.529,108.562,0.464
1.591,122.481,150.729,11.443,14.763,0.135,5.208e4,1.247e4,56.549,0.255,317.186,252.923,0.442,5338.582,115.767,0.466
1.641,130.13,155.204,12.194,15.271,0.121,5.195e4,1.234e4,56.545,0.255,317.354,252.938,0.455,5311.794,123.21,0.468
1.691,138.001,159.633,12.97,15.773,0.098,5.182e4,1.221e4,56.529,0.254,317.573,252.922,0.468,5258.288,130.849,0.47
1.741,146.092,164.032,13.771,16.271,0.068,5.169e4,1.208e4,56.512,0.254,317.835,252.903,0.481,5221.962,138.71,0.471
1.791,154.403,168.402,14.597,16.763,0.033,5.157e4,1.196e4,56.507,0.254,318.125,252.91,0.494,5187.725,146.798,0.474
1.841,162.932,172.764,15.447,17.251,0.002,5.144e4,1.184e4,56.489,0.253,318.401,252.886,0.507,5175.189,155.154,0.476
1.891,171.678,177.079,16.322,17.731,0.035,5.132e4,1.171e4,56.477,0.253,318.303,252.875,0.52,5122.319,163.704,0.478
1.941,180.64,181.389,17.22,18.206,0.063,5.12e4,1.159e4,56.463,0.253,318.248,252.859,0.532,5113.864,172.533,0.48
1.991,189.816,185.661,18.142,18.675,0.081,5.108e4,1.147e4,56.45,0.252,318.249,252.844,0.545,5071.376,181.576,0.482
2.041,199.204,189.872,19.088,19.137,0.089,5.096e4,1.135e4,56.435,0.252,318.32,252.823,0.557,5007.327,190.783,0.485
2.091,208.803,194.06,20.056,19.596,0.085,5.084e4,1.124e4,56.414,0.252,318.465,252.788,0.57,4981.567,200.196,0.487
2.141,218.61,198.246,21.047,20.057,0.07,5.073e4,1.112e4,56.405,0.252,318.682,252.78,0.582,4977.444,209.84,0.49
2.191,228.627,202.413,22.062,20.52,0.046,5.061e4,1.1e4,56.383,0.251,318.958,252.74,0.594,4958.339,219.741,0.492
2.241,238.85,206.525,23.099,20.983,0.016,5.05e4,1.089e4,56.368,0.251,319.272,252.716,0.607,4902.068,229.812,0.495
2.291,249.278,210.604,24.16,21.449,0.015,5.039e4,1.078e4,56.35,0.251,319.424,252.685,0.619,4868.795,240.109,0.498
2.341,259.91,214.665,25.244,21.92,0.042,5.028e4,1.067e4,56.334,0.25,319.411,252.657,0.631,4852.524,250.678,0.501
2.391,270.744,218.706,26.352,22.394,0.062,5.017e4,1.056e4,56.316,0.25,319.449,252.623,0.643,4832.527,261.513,0.504
2.441,281.78,222.709,27.483,22.868,0.07,5.006e4,1.045e4,56.304,0.25,319.557,252.604,0.655,4795.412,272.571,0.507
2.491,293.015,226.698,28.639,23.343,0.066,4.995e4,1.034e4,56.279,0.25,319.742,252.555,0.666,4783.63,283.927,0.51
2.541,304.449,230.653,29.818,23.813,0.05,4.984e4,1.024e4,56.267,0.249,319.999,252.533,0.678,4750.163,295.523,0.513
2.591,316.079,234.568,31.02,24.277,0.026,4.973e4,1.012e4,56.24,0.249,320.309,252.477,0.69,4712.677,307.356,0.517
2.641,327.905,238.46,32.245,24.734,0.002,4.963e4,1.002e4,56.227,0.249,320.619,252.452,0.701,4691.379,319.479,0.52
2.691,339.925,242.324,33.493,25.184,0.028,4.953e4,9916.705,56.2,0.248,320.639,252.397,0.713,4666.053,331.888,0.524
2.741,352.137,246.175,34.764,25.628,0.047,4.942e4,9815.275,56.183,0.248,320.707,252.362,0.724,4656.125,344.645,0.528
2.791,364.541,249.989,36.056,26.066,0.054,4.932e4,9714.975,56.159,0.248,320.844,252.313,0.736,4623.644,357.683,0.532
2.841,377.135,253.763,37.37,26.5,0.049,4.922e4,9615.781,56.141,0.248,321.058,252.275,0.747,4587.767,370.999,0.536
2.891,389.917,257.498,38.706,26.933,0.032,4.913e4,9517.675,56.117,0.247,321.341,252.223,0.758,4554.861,384.615,0.54
2.941,402.884,261.204,40.063,27.368,0.008,4.903e4,9420.65,56.102,0.247,321.667,252.192,0.769,4533.256,398.591,0.545
2.991,416.037,264.896,41.443,27.808,0.017,4.893e4,9324.698,56.074,0.247,321.803,252.13,0.78,4525.074,413.004,0.549
3.041,429.373,268.567,42.844,28.252,0.036,4.884e4,9229.802,56.059,0.247,321.881,252.096,0.791,4512.147,427.864,0.554
3.091,442.893,272.22,44.268,28.699,0.045,4.874e4,9135.959,56.029,0.246,322.024,252.032,0.802,4502.345,443.217,0.56
