# Time (s),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Mach number (​),Thrust (N),Drag coefficient (​)
0.01,5.702e4,1.741e4,56.395,0.268,NaN,250.212,0.009,114.957,0.641
0.02,5.699e4,1.738e4,56.403,0.268,NaN,250.27,0.009,344.87,0.641
0.03,5.696e4,1.735e4,56.412,0.267,NaN,250.328,0.009,574.783,0.642
0.04,5.691e4,1.731e4,56.424,0.267,NaN,250.413,0.009,2216.543,0.641
0.05,5.687e4,1.726e4,56.437,0.267,NaN,250.497,0.01,5270.148,0.633
0.06,5.684e4,1.723e4,56.445,0.267,NaN,250.551,0.012,7017.697,0.617
0.07,5.681e4,1.72e4,56.453,0.267,NaN,250.605,0.014,7459.19,0.598
0.08,5.678e4,1.717e4,56.462,0.267,NaN,250.659,0.017,7900.683,0.58
0.09,5.673e4,1.712e4,56.48,0.267,NaN,250.76,0.021,8061.78,0.564
0.1,5.669e4,1.708e4,56.498,0.267,NaN,250.86,0.024,7942.48,0.552
0.11,5.666e4,1.705e4,56.517,0.267,NaN,250.952,0.028,7842.183,0.541
0.12,5.663e4,1.702e4,56.536,0.267,NaN,251.044,0.031,7760.89,0.531
0.13,5.659e4,1.699e4,56.555,0.267,NaN,251.135,0.035,7679.597,0.523
0.14,5.655e4,1.694e4,56.567,0.266,NaN,251.206,0.038,7618.525,0.516
0.15,5.65e4,1.69e4,56.578,0.266,NaN,251.277,0.042,7577.675,0.51
0.16,5.647e4,1.687e4,56.586,0.266,NaN,251.323,0.045,7506.915,0.505
0.17,5.644e4,1.684e4,56.594,0.266,NaN,251.369,0.049,7406.245,0.5
0.18,5.642e4,1.681e4,56.602,0.266,NaN,251.414,0.052,7305.575,0.495
0.19,5.637e4,1.676e4,56.613,0.266,NaN,251.481,0.056,7238.27,0.491
0.2,5.633e4,1.672e4,56.624,0.266,NaN,251.547,0.059,7204.33,0.487
0.21,5.63e4,1.669e4,56.632,0.266,NaN,251.59,0.063,7170.967,0.484
0.22,5.627e4,1.666e4,56.64,0.266,NaN,251.633,0.066,7138.18,0.481
0.23,5.624e4,1.663e4,56.647,0.266,NaN,251.676,0.069,7105.393,0.478
0.24,5.619e4,1.658e4,56.653,0.266,NaN,251.721,0.073,7051.807,0.475
0.25,5.615e4,1.654e4,56.659,0.265,NaN,251.765,0.076,6977.422,0.472
0.26,5.612e4,1.651e4,56.663,0.265,NaN,251.794,0.079,6910.355,0.47
0.27,5.609e4,1.648e4,56.666,0.265,NaN,251.822,0.083,6850.605,0.467
0.28,5.606e4,1.645e4,56.67,0.265,NaN,251.851,0.086,6790.855,0.465
0.29,5.602e4,1.641e4,56.676,0.265,NaN,251.893,0.089,6767.077,0.463
0.3,5.597e4,1.637e4,56.682,0.265,NaN,251.935,0.092,6779.273,0.461
0.31,5.595e4,1.634e4,56.682,0.265,NaN,251.951,0.096,6732.02,0.459
0.32,5.592e4,1.631e4,56.682,0.265,NaN,251.966,0.099,6625.32,0.458
0.33,5.589e4,1.628e4,56.682,0.265,NaN,251.981,0.102,6518.62,0.456
0.34,5.584e4,1.624e4,56.688,0.265,NaN,252.021,0.105,6390.632,0.454
0.35,5.58e4,1.619e4,56.694,0.265,NaN,252.061,0.108,6241.357,0.453
0.36,5.577e4,1.616e4,56.697,0.264,NaN,252.087,0.111,6163.942,0.451
0.37,5.574e4,1.614e4,56.701,0.264,NaN,252.113,0.114,6158.385,0.45
0.38,5.572e4,1.611e4,56.705,0.264,NaN,252.139,0.117,6152.828,0.449
0.39,5.567e4,1.606e4,56.705,0.264,NaN,252.16,0.12,6122.005,0.448
0.4,5.563e4,1.602e4,56.705,0.264,NaN,252.181,0.123,6065.915,0.446
0.41,5.56e4,1.599e4,56.705,0.264,NaN,252.194,0.126,6033.297,0.445
0.42,5.557e4,1.597e4,56.705,0.264,NaN,252.208,0.129,6024.15,0.444
0.435,5.552e4,1.592e4,56.708,0.264,296.678,252.24,0.133,6006.679,0.443
0.458,5.544e4,1.583e4,56.716,0.264,297.482,252.303,0.139,5888.072,0.44
0.491,5.533e4,1.572e4,56.715,0.263,298.649,252.352,0.149,5846.489,0.44
0.541,5.516e4,1.556e4,56.715,0.263,300.501,252.422,0.162,5753.315,0.44
0.591,5.5e4,1.539e4,56.713,0.262,302.141,252.487,0.176,5702.258,0.441
0.641,5.484e4,1.523e4,56.722,0.262,302.934,252.579,0.19,5631.5,0.442
0.691,5.468e4,1.507e4,56.72,0.262,304.111,252.634,0.203,5573.874,0.443
0.741,5.452e4,1.491e4,56.716,0.261,304.902,252.684,0.217,5600.674,0.443
0.791,5.436e4,1.475e4,56.713,0.261,305.586,252.73,0.23,5514.761,0.444
0.841,5.421e4,1.46e4,56.702,0.26,307.387,252.755,0.243,5495.468,0.445
0.891,5.405e4,1.445e4,56.693,0.26,309.457,252.78,0.257,5516.769,0.446
0.941,5.39e4,1.429e4,56.687,0.26,311.655,252.813,0.27,5471.733,0.447
0.991,5.375e4,1.414e4,56.68,0.259,313.517,252.843,0.284,5504.797,0.448
1.041,5.36e4,1.4e4,56.663,0.259,315.81,252.839,0.297,5486.108,0.449
1.091,5.346e4,1.385e4,56.655,0.259,316.888,252.862,0.311,5518.132,0.451
1.141,5.331e4,1.37e4,56.646,0.258,314.623,252.88,0.324,5518.542,0.452
1.191,5.317e4,1.356e4,56.637,0.258,312.845,252.895,0.338,5487.891,0.453
1.241,5.303e4,1.342e4,56.627,0.257,311.85,252.906,0.351,5505.813,0.455
1.291,5.289e4,1.328e4,56.616,0.257,311.039,252.914,0.365,5496.401,0.456
1.341,5.275e4,1.314e4,56.605,0.257,310.285,252.919,0.378,5491.07,0.458
1.391,5.261e4,1.3e4,56.593,0.256,310.433,252.92,0.392,5449.309,0.459
1.441,5.248e4,1.287e4,56.58,0.256,310.452,252.918,0.405,5431.419,0.461
1.491,5.234e4,1.273e4,56.578,0.256,310.843,252.942,0.419,5420.006,0.463
1.541,5.221e4,1.26e4,56.564,0.255,311.809,252.934,0.432,5359.529,0.464
1.591,5.208e4,1.247e4,56.549,0.255,313.138,252.923,0.445,5338.582,0.466
1.641,5.195e4,1.234e4,56.545,0.255,314.961,252.938,0.459,5311.794,0.468
1.691,5.182e4,1.221e4,56.529,0.254,317.219,252.922,0.472,5258.288,0.47
1.741,5.169e4,1.208e4,56.512,0.254,317.244,252.903,0.485,5221.962,0.472
1.791,5.157e4,1.196e4,56.507,0.254,315.712,252.91,0.498,5187.725,0.474
1.841,5.144e4,1.184e4,56.489,0.253,314.946,252.886,0.511,5175.189,0.476
1.891,5.132e4,1.171e4,56.477,0.253,314.126,252.875,0.523,5122.319,0.478
1.941,5.12e4,1.159e4,56.463,0.253,313.813,252.859,0.536,5113.864,0.481
1.991,5.108e4,1.147e4,56.45,0.252,314.004,252.844,0.549,5071.376,0.483
2.041,5.096e4,1.135e4,56.435,0.252,315.068,252.823,0.561,5007.327,0.486
2.091,5.084e4,1.124e4,56.414,0.252,316.231,252.788,0.574,4981.567,0.488
2.141,5.073e4,1.112e4,56.405,0.252,318.009,252.78,0.586,4977.444,0.491
2.191,5.061e4,1.1e4,56.383,0.251,318.806,252.74,0.598,4958.339,0.493
2.241,5.05e4,1.089e4,56.368,0.251,317.623,252.716,0.611,4902.068,0.496
2.291,5.039e4,1.078e4,56.35,0.251,316.778,252.685,0.623,4868.795,0.499
2.341,5.028e4,1.067e4,56.334,0.25,316.485,252.657,0.635,4852.524,0.502
2.391,5.017e4,1.056e4,56.316,0.25,316.493,252.623,0.647,4832.527,0.505
2.441,5.006e4,1.045e4,56.304,0.25,317.157,252.604,0.659,4795.412,0.508
2.491,4.995e4,1.034e4,56.279,0.25,318.279,252.555,0.671,4783.63,0.511
2.541,4.984e4,1.024e4,56.267,0.249,320.051,252.533,0.682,4750.163,0.515
2.591,4.973e4,1.012e4,56.24,0.249,319.335,252.477,0.694,4712.677,0.518
