# Time (s),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Thrust (N)
0.01,5.70E+04,1.74E+04,56.395,0.268,NaN,250.212,114.957
0.02,5.70E+04,1.74E+04,56.403,0.268,NaN,250.27,344.87
0.03,5.70E+04,1.74E+04,56.412,0.267,NaN,250.328,574.783
0.04,5.69E+04,1.73E+04,56.424,0.267,NaN,250.413,2216.543
0.05,5.69E+04,1.73E+04,56.437,0.267,NaN,250.497,5270.148
0.06,5.68E+04,1.72E+04,56.445,0.267,NaN,250.551,7017.697
0.07,5.68E+04,1.72E+04,56.453,0.267,NaN,250.605,7459.19
0.08,5.68E+04,1.72E+04,56.462,0.267,NaN,250.659,7900.683
0.09,5.67E+04,1.71E+04,56.48,0.267,NaN,250.76,8061.78
0.1,5.67E+04,1.71E+04,56.498,0.267,NaN,250.86,7942.48
0.11,5.67E+04,1.71E+04,56.517,0.267,NaN,250.952,7842.183
0.12,5.66E+04,1.70E+04,56.536,0.267,NaN,251.044,7760.89
0.13,5.66E+04,1.70E+04,56.555,0.267,NaN,251.135,7679.597
0.14,5.66E+04,1.69E+04,56.567,0.266,NaN,251.206,7618.525
0.15,5.65E+04,1.69E+04,56.578,0.266,NaN,251.277,7577.675
0.16,5.65E+04,1.69E+04,56.586,0.266,NaN,251.323,7506.915
0.17,5.64E+04,1.68E+04,56.594,0.266,NaN,251.369,7406.245
0.18,5.64E+04,1.68E+04,56.602,0.266,NaN,251.414,7305.575
0.19,5.64E+04,1.68E+04,56.613,0.266,NaN,251.481,7238.27
0.2,5.63E+04,1.67E+04,56.624,0.266,NaN,251.547,7204.33
0.21,5.63E+04,1.67E+04,56.632,0.266,NaN,251.59,7170.967
0.22,5.63E+04,1.67E+04,56.64,0.266,NaN,251.633,7138.18
0.23,5.62E+04,1.66E+04,56.647,0.266,NaN,251.676,7105.393
0.24,5.62E+04,1.66E+04,56.653,0.266,NaN,251.721,7051.807
0.25,5.62E+04,1.65E+04,56.659,0.265,NaN,251.765,6977.422
0.26,5.61E+04,1.65E+04,56.663,0.265,NaN,251.794,6910.355
0.27,5.61E+04,1.65E+04,56.666,0.265,NaN,251.822,6850.605
0.28,5.61E+04,1.65E+04,56.67,0.265,NaN,251.851,6790.855
0.29,5.60E+04,1.64E+04,56.676,0.265,NaN,251.893,6767.077
0.3,5.60E+04,1.64E+04,56.682,0.265,NaN,251.935,6779.273
0.31,5.60E+04,1.63E+04,56.682,0.265,NaN,251.951,6732.02
0.32,5.59E+04,1.63E+04,56.682,0.265,NaN,251.966,6625.32
0.33,5.59E+04,1.63E+04,56.682,0.265,NaN,251.981,6518.62
0.34,5.58E+04,1.62E+04,56.688,0.265,NaN,252.021,6390.632
0.35,5.58E+04,1.62E+04,56.694,0.265,NaN,252.061,6241.357
0.36,5.58E+04,1.62E+04,56.697,0.264,NaN,252.087,6163.942
0.37,5.57E+04,1.61E+04,56.701,0.264,NaN,252.113,6158.385
0.38,5.57E+04,1.61E+04,56.705,0.264,NaN,252.139,6152.828
0.39,5.57E+04,1.61E+04,56.705,0.264,NaN,252.16,6122.005
0.4,5.56E+04,1.60E+04,56.705,0.264,NaN,252.181,6065.915
0.41,5.56E+04,1.60E+04,56.705,0.264,NaN,252.194,6033.297
0.42,5.56E+04,1.60E+04,56.705,0.264,NaN,252.208,6024.15
0.435,5.55E+04,1.59E+04,56.708,0.264,298.599,252.24,6006.679
0.458,5.54E+04,1.58E+04,56.716,0.264,299.158,252.303,5888.072
0.491,5.53E+04,1.57E+04,56.715,0.263,300.619,252.352,5846.489
0.541,5.52E+04,1.56E+04,56.715,0.263,301.728,252.422,5753.315
0.591,5.50E+04,1.54E+04,56.713,0.262,302.924,252.487,5702.258
0.641,5.48E+04,1.52E+04,56.722,0.262,304.198,252.579,5631.5
0.691,5.47E+04,1.51E+04,56.72,0.262,305.657,252.634,5573.874
0.741,5.45E+04,1.49E+04,56.716,0.261,306.154,252.684,5600.674
0.791,5.44E+04,1.48E+04,56.713,0.261,307.91,252.73,5514.761
0.841,5.42E+04,1.46E+04,56.702,0.26,309.652,252.755,5495.468
0.891,5.41E+04,1.45E+04,56.693,0.26,311.615,252.78,5516.769
0.941,5.39E+04,1.43E+04,56.687,0.26,313.083,252.813,5471.733
0.991,5.38E+04,1.41E+04,56.68,0.259,315.105,252.843,5504.797
1.041,5.36E+04,1.40E+04,56.663,0.259,316.62,252.839,5486.108
1.091,5.35E+04,1.39E+04,56.655,0.259,316.815,252.862,5518.132
1.141,5.33E+04,1.37E+04,56.646,0.258,315.475,252.88,5518.542
1.191,5.32E+04,1.36E+04,56.637,0.258,314.365,252.895,5487.891
1.241,5.30E+04,1.34E+04,56.627,0.257,313.034,252.906,5505.813
1.291,5.29E+04,1.33E+04,56.616,0.257,312.703,252.914,5496.401
1.341,5.28E+04,1.31E+04,56.605,0.257,311.973,252.919,5491.07
1.391,5.26E+04,1.30E+04,56.593,0.256,311.609,252.92,5449.309
1.441,5.25E+04,1.29E+04,56.58,0.256,311.7,252.918,5431.419
1.491,5.23E+04,1.27E+04,56.578,0.256,312.492,252.942,5420.006
1.541,5.22E+04,1.26E+04,56.564,0.255,313.46,252.934,5359.529
1.591,5.21E+04,1.25E+04,56.549,0.255,314.379,252.923,5338.582
1.641,5.20E+04,1.23E+04,56.545,0.255,315.455,252.938,5311.794
1.691,5.18E+04,1.22E+04,56.529,0.254,316.675,252.922,5258.288
1.741,5.17E+04,1.21E+04,56.512,0.254,317.933,252.903,5221.962
1.791,5.16E+04,1.20E+04,56.507,0.254,317.228,252.91,5187.725
1.841,5.14E+04,1.18E+04,56.489,0.253,316.022,252.886,5175.189
1.891,5.13E+04,1.17E+04,56.477,0.253,315.071,252.875,5122.319
1.941,5.12E+04,1.16E+04,56.463,0.253,314.715,252.859,5113.864
1.991,5.11E+04,1.15E+04,56.45,0.252,314.822,252.844,5071.376
2.041,5.10E+04,1.14E+04,56.435,0.252,315.238,252.823,5007.327
